EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector,Ratio,T_nearest,T_spot
202059204,0,3718,4.95,7.93,0.46,0.66,2.82,11.3,8.51,1.0,0.0,0.0,0.0,7.9304533128630945,0.0325972605081663,,0.0,3700,0.0
202059229,0,4161,4.78,4.93,0.32,0.44,2.39,10.5,8.06,1.0,9.0,2.4805563976307035,0.0179818749427795,5.087617185835527,0.0366138074831352,6.0,0.4911227806903772,4200,2800.0
202059586,0,5915,4.37,4.32,0.3,0.62,1.18,14.6,4.26,1.0,0.0,0.0,0.0,9.745674693709944,0.0302689870293134,,0.0,5900,0.0
202059600,0,5932,4.33,2.5,0.24,0.76,5.83,15.2,4.97,1.0,0.0,0.0,0.0,8.272873834812607,0.0817485850810813,,0.0,5900,0.0
202059635,0,6029,4.28,2.57,0.24,0.79,4.52,14.9,,1.0,0.0,0.0,0.0,2.532367784557943,0.0436522374431405,,0.0,6000,0.0
202059653,0,5612,4.38,2.66,0.24,0.61,6.09,15.7,4.54,1.0,0.0,0.0,0.0,2.67372287092286,0.04483936512074,,0.0,5600,0.0
202059766,0,5903,4.34,3.2,0.26,0.6,1.61,15.0,4.54,1.0,0.0,0.0,0.0,3.322911165557348,0.020244991959859,,0.0,5900,0.0
202060098,0,5462,4.51,4.96,0.32,0.91,2.08,15.1,,1.0,0.0,0.0,0.0,5.020948898918581,0.0149828185840422,,0.0,5500,0.0
202060670,0,5179,4.57,4.42,0.3,0.83,1.75,10.2,,1.0,3.0,4.4538161864646,0.0184897422790527,4.388438673273948,0.019659372008289,43.0,0.9405052344122108,5200,4200.0
202061819,0,5445,4.51,3.15,0.26,0.42,5.79,15.6,4.99,1.0,0.0,0.0,0.0,8.272873887301374,1.5076022297205902,,0.0,5400,0.0
202064452,0,4894,4.63,3.11,0.26,0.48,4.08,11.5,5.53,1.0,1.0,1.568532422694058,0.029830452799797,3.132756199805324,0.0540884487996493,43.0,0.5515124478849985,4900,2100.0
202065236,0,3700,4.96,2.49,0.24,0.75,1.04,15.6,,1.0,9.0,2.5383769160041654,0.0308588743209839,9.74567506029514,0.048398494066557,6.0,0.6375998864457882,3700,3800.0
202065998,0,5785,4.38,8.1,0.47,0.36,1.75,13.4,5.56,1.0,0.0,0.0,0.0,8.272874535367281,0.0169511360821875,,0.0,5800,0.0
202066004,0,3537,5.04,2.19,0.23,0.8,1.52,13.4,11.02,1.0,0.0,0.0,0.0,9.745674808449024,0.040147323700433,,0.0,3500,0.0
202066131,0,5083,4.65,4.1,0.29,0.87,4.85,13.9,,1.0,0.0,0.0,0.0,8.272874643765277,0.8834852915726529,,0.0,5100,0.0
202067687,0,3524,5.04,7.38,0.43,0.72,2.72,15.5,9.98,1.0,0.0,0.0,0.0,7.615257056479571,0.0355697063023908,,0.0,3500,0.0
202067783,0,3720,4.95,3.36,0.26,0.9,3.38,15.3,8.52,1.0,0.0,0.0,0.0,8.272875440584714,1.039786394670496,,0.0,3700,0.0
202067805,0,3789,4.97,2.66,0.24,0.78,1.21,13.4,,1.0,0.0,0.0,0.0,2.6925116528171578,0.0396667052812245,,0.0,3800,0.0
202067808,0,3588,4.99,3.13,0.26,0.34,0.91,15.5,12.27,1.0,0.0,0.0,0.0,3.1848269538201364,0.013058270798835,,0.0,3600,0.0
202067844,0,3733,4.9,2.44,0.24,0.71,1.83,14.1,10.51,1.0,0.0,0.0,0.0,2.4357888593196626,0.0204516452842984,,0.0,3700,0.0
202067933,0,3620,5.0,9.07,0.53,0.47,2.25,15.2,,1.0,0.0,0.0,0.0,8.272876312963252,0.8291159402447074,,0.0,3600,0.0
202067952,0,3911,4.86,3.13,0.26,0.91,7.85,13.8,6.21,1.0,0.0,0.0,0.0,3.1073508010804183,0.0740948092857221,,0.0,3900,0.0
202068022,0,3767,4.92,3.76,0.28,0.8,1.62,15.3,8.53,1.0,0.0,0.0,0.0,8.272876548873356,1.791798022965801,,0.0,3800,0.0
202068126,0,3667,4.97,8.5,0.5,0.84,1.42,13.7,9.62,1.0,0.0,0.0,0.0,8.646203717824914,0.019011183426486,,0.0,3700,0.0
202068181,0,3761,4.94,9.51,0.56,0.69,1.06,13.9,7.99,1.0,0.0,0.0,0.0,9.503965893038869,0.0183277750207535,,0.0,3800,0.0
202068282,0,3832,4.9,8.81,0.52,0.64,0.79,13.8,8.8,1.0,0.0,0.0,0.0,9.745675322306829,0.0670764516103132,,0.0,3800,0.0
202068344,0,3758,4.95,4.45,0.3,0.68,2.93,15.0,,1.0,0.0,0.0,0.0,10.0,0.0349574726609336,,0.0,3800,0.0
202068380,0,3579,5.04,1.45,0.21,0.71,3.61,14.6,9.76,1.0,0.0,0.0,0.0,1.4720287438275177,0.0662393468256075,,0.0,3600,0.0
202068389,0,3665,4.96,9.04,0.53,0.49,0.22,14.0,,1.0,0.0,0.0,0.0,10.0,0.0165077607998435,,0.0,3700,0.0
202068404,0,3559,4.99,2.19,0.23,0.7,0.92,14.5,8.96,1.0,0.0,0.0,0.0,2.173313610579751,0.0206163599250908,,0.0,3600,0.0
202068439,0,3594,5.0,6.23,0.38,0.33,1.74,14.5,,1.0,0.0,0.0,0.0,6.2491745239035135,0.0259107459906523,,0.0,3600,0.0
202068477,0,3738,4.97,4.72,0.31,0.72,2.25,14.0,8.65,1.0,0.0,0.0,0.0,4.6549942141391965,0.0255002139177261,,0.0,3700,0.0
202068576,0,3638,4.97,2.33,0.23,0.71,1.27,15.5,,1.0,0.0,0.0,0.0,8.098049817277,0.0430800485237149,,0.0,3600,0.0
202068580,0,3892,4.88,3.65,0.27,0.93,6.72,10.5,7.02,1.0,0.0,0.0,0.0,3.6733039572397583,0.0700057736563345,,0.0,3900,0.0
202068593,0,4180,4.78,3.09,0.26,0.87,4.36,15.8,,1.0,0.0,0.0,0.0,3.1073550780859818,0.0601298337986109,,0.0,4200,0.0
202068600,0,3594,5.0,1.59,0.21,0.41,1.16,15.9,,1.0,0.0,0.0,0.0,1.60119854078071,0.01532885818009,,0.0,3600,0.0
202068633,0,3728,4.93,2.5,0.24,0.65,2.78,13.9,9.62,1.0,0.0,0.0,0.0,2.532375498265022,0.0381384841959697,,0.0,3700,0.0
202071288,0,5470,4.51,2.91,0.25,0.79,3.76,10.1,,1.0,3.0,3.067503193090812,0.032857608795166,2.986270130396772,0.041502182613067,43.0,0.7917079711566966,5500,2600.0
202071290,0,6032,4.39,5.72,0.35,0.62,1.3,11.4,4.15,1.0,0.0,0.0,0.0,6.051784836040132,0.0253656648881751,,0.0,6000,0.0
202071302,0,6088,4.34,3.13,0.26,0.52,0.5,10.9,4.12,1.0,0.0,0.0,0.0,3.5052925896671066,0.0095800231611973,,0.0,6100,0.0
202071310,0,5990,4.3,2.41,0.24,0.72,3.67,11.0,3.58,1.0,0.0,0.0,0.0,2.420405378029417,0.0463462649029341,,0.0,6000,0.0
202071317,0,5136,4.58,1.25,0.2,0.53,5.01,10.9,4.95,1.0,0.0,0.0,0.0,1.234849466252194,0.0541992934030448,,0.0,5100,0.0
202071333,0,5809,4.49,8.27,0.48,0.74,0.97,10.3,5.19,1.0,2.0,8.581673834090198,0.0069681584835051,8.09805082016794,0.0215641422061051,44.0,0.323136362991166,5800,1300.0
202071376,0,5014,4.64,4.11,0.29,0.86,7.68,11.0,6.64,1.0,1.0,4.139852690176625,0.0155279457569122,4.150762379757509,0.0692804623506794,43.0,0.22413167046019178,5000,2000.0
202071909,0,6188,4.36,3.69,0.28,0.65,1.57,11.4,4.12,1.0,0.0,0.0,0.0,3.60420342498778,0.0141318116766072,,0.0,6200,0.0
202081070,0,3757,4.91,8.79,0.52,0.74,4.38,15.0,8.0,1.0,0.0,0.0,0.0,8.845791555353847,0.0411554609841872,,0.0,3800,0.0
202081358,0,3597,5.02,9.51,0.56,0.88,3.94,15.3,9.66,1.0,5.0,7.83956920221058,0.0343716233968733,9.503965530907918,0.0528801772738058,6.0,0.6499906991404752,3600,3800.0
202081450,0,3586,5.0,2.09,0.23,0.73,4.91,15.9,9.63,1.0,0.0,0.0,0.0,6.459862983286602,0.0895580035565853,,0.0,3600,0.0
202081611,0,3719,4.95,7.85,0.46,0.74,1.5,15.7,8.1,1.0,0.0,0.0,0.0,9.745674850303937,0.0965559651321665,,0.0,3700,0.0
202081725,0,3588,4.99,1.7,0.22,0.32,7.29,15.7,,1.0,0.0,0.0,0.0,8.272874473680433,1.3899614460712104,,0.0,3600,0.0
202083058,0,3994,4.89,8.22,0.48,0.52,1.07,15.4,,1.0,0.0,0.0,0.0,9.745674636986427,0.0354510315186686,,0.0,4000,0.0
202083184,0,3565,5.04,5.88,0.36,0.67,0.48,15.4,9.61,1.0,4.0,0.2967168036243497,0.0276674330234527,5.957698919958472,0.0148117106071218,6.0,1.8679431267141813,3600,4600.0
202083194,0,3830,4.92,2.42,0.24,0.43,3.12,14.7,,1.0,3.0,2.4475552943279,0.0532870769500732,2.467151250695649,0.0199579705094473,43.0,2.6699647103321076,3800,4600.0
202083510,0,3395,5.07,3.24,0.26,0.42,1.57,15.2,9.66,1.0,0.0,0.0,0.0,3.3229220927630188,0.0283360727845977,,0.0,3400,0.0
202083650,0,4160,4.77,2.41,0.24,0.59,9.26,15.8,,1.0,0.0,0.0,0.0,8.272875043703037,0.7865172303902299,,0.0,4200,0.0
202084028,0,3748,4.9,2.49,0.24,0.6,4.49,15.2,,1.0,0.0,0.0,0.0,2.532369105827139,0.0715413400118217,,0.0,3700,0.0
202084291,0,4027,4.81,2.4,0.24,0.4,3.48,14.6,,1.0,0.0,0.0,0.0,8.27287396018749,0.9228884040131596,,0.0,4000,0.0
202084530,0,3848,4.89,9.47,0.56,0.79,0.61,14.6,8.1,1.0,0.0,0.0,0.0,9.745675065340158,0.0289760764390175,,0.0,3800,0.0
202085323,0,3845,4.86,3.95,0.28,0.68,1.94,16.0,,1.0,0.0,0.0,0.0,8.272873520144701,1.2189419794749097,,0.0,3800,0.0
202085463,0,4044,4.81,9.02,0.53,0.91,2.39,15.2,0.35,1.0,0.0,0.0,0.0,9.054814988366603,0.0349689961232783,,0.0,4000,0.0
202085789,0,3849,4.86,2.24,0.23,0.8,7.62,15.9,,1.0,0.0,0.0,0.0,2.276609091831951,0.072699602490345,,0.0,3800,0.0
202086177,0,3981,4.82,9.75,0.58,0.5,0.46,14.8,7.42,1.0,0.0,0.0,0.0,9.745675080510606,0.0187008957613424,,0.0,4000,0.0
202086194,0,5789,4.45,6.84,0.41,0.74,1.32,11.7,4.98,1.0,4.0,6.08165295727547,0.0061444014310836,6.803968372476456,0.0235906037497222,6.0,0.26045969387943096,5800,1300.0
202086370,0,5065,4.59,8.1,0.47,0.5,1.86,13.4,6.2,1.0,0.0,0.0,0.0,8.845791679104881,0.0122352475206951,,0.0,5100,0.0
202086443,0,5838,4.27,4.81,0.32,0.49,2.26,10.4,,1.0,0.0,0.0,0.0,4.770900886536335,0.0277426997452884,,0.0,5800,0.0
202086574,0,5940,4.36,4.82,0.32,0.86,1.57,12.3,,1.0,0.0,0.0,0.0,4.831052660573526,0.0191468216864224,,0.0,5900,0.0
202086889,0,5765,4.42,4.17,0.29,0.72,1.97,10.5,3.91,1.0,0.0,0.0,0.0,4.242683241468165,0.0204855075215252,,0.0,5800,0.0
202087072,0,6167,4.33,3.95,0.28,0.69,0.67,11.6,4.12,1.0,0.0,0.0,0.0,4.020134540958653,0.0208707741655849,,0.0,6200,0.0
202087248,0,5993,4.4,3.1,0.26,0.77,1.69,11.0,4.31,1.0,0.0,0.0,0.0,3.1073524144559306,0.0242908478614832,,0.0,6000,0.0
202087283,0,6034,4.34,9.26,0.55,0.37,1.68,10.3,4.37,1.0,4.0,4.552582612511989,0.0031890630722046,9.745674803008676,0.0231730031892453,6.0,0.13761975718730576,6000,1000.0
202087589,0,5981,4.41,9.74,0.58,0.79,1.53,11.6,4.56,1.0,0.0,0.0,0.0,10.0,0.016711966383024,,0.0,6000,0.0
202087591,0,6172,4.22,5.3,0.34,0.71,0.82,12.3,,1.0,0.0,0.0,0.0,8.27287344476259,1.0017347743904623,,0.0,6200,0.0
202087668,0,5575,4.26,8.88,0.52,0.82,1.82,13.3,5.62,1.0,0.0,0.0,0.0,8.845792196819826,0.0388855563417106,,0.0,5600,0.0
202087681,0,5712,4.45,8.13,0.48,0.32,0.91,10.4,4.62,1.0,2.0,6.848343126104814,0.0016659706830977,7.769660478450035,0.0139509199777073,6.0,0.119416546418431,5700,1300.0
202088110,0,5949,4.44,4.83,0.32,0.44,1.33,11.8,4.46,1.0,0.0,0.0,0.0,5.087610029518647,0.0176896054926511,,0.0,5900,0.0
202088488,0,6120,4.32,1.32,0.21,0.78,5.05,10.9,3.88,1.0,0.0,0.0,0.0,1.3290715108108693,0.0341700444866187,,0.0,6100,0.0
202088537,0,6132,4.37,7.54,0.44,0.66,0.39,11.1,4.19,1.0,0.0,0.0,0.0,7.615249809379328,0.0186973311639573,,0.0,6100,0.0
202088609,0,6147,4.37,7.24,0.43,0.94,2.21,10.9,4.44,1.0,0.0,0.0,0.0,7.186789257292624,0.0254314548151237,,0.0,6100,0.0
202088626,0,6165,4.36,3.35,0.26,0.5,0.93,10.9,4.11,1.0,0.0,0.0,0.0,3.2662687619036683,0.0161871230524537,,0.0,6200,0.0
202088729,0,6023,4.35,6.4,0.38,0.67,0.5,11.8,4.42,1.0,0.0,0.0,0.0,6.803967194036908,0.0079584721439948,,0.0,6000,0.0
202088803,0,6093,4.38,5.15,0.33,0.7,0.68,11.4,4.45,1.0,0.0,0.0,0.0,5.087610540079584,0.0151006570244268,,0.0,6100,0.0
202088899,0,6155,4.32,7.53,0.44,0.41,0.22,11.5,3.97,1.0,0.0,0.0,0.0,5.372951502553949,0.006892108013491,,0.0,6200,0.0
202088922,0,6218,4.33,8.98,0.53,0.6,0.41,11.5,4.1,1.0,0.0,0.0,0.0,9.273955354555024,0.0043358161871184,,0.0,6200,0.0
202089180,0,6224,4.34,5.48,0.34,0.49,0.22,10.6,3.82,1.0,0.0,0.0,0.0,9.745675882829063,0.0131137315277081,,0.0,6200,0.0
202089186,0,6112,4.34,3.44,0.27,0.55,0.97,11.2,4.1,1.0,4.0,3.305882012400121,0.0065217971801757,9.745675469880032,0.0503192469949016,6.0,0.1296084017480726,6100,900.0
202089411,0,6235,4.31,8.61,0.5,0.59,0.21,11.7,,1.0,0.0,0.0,0.0,9.054815322990644,0.0059055420124199,,0.0,6200,0.0
202089592,0,5314,4.54,8.08,0.47,0.63,1.3,13.7,5.91,1.0,0.0,0.0,0.0,7.930455132412423,0.0203270165995069,,0.0,5300,0.0
202089756,0,5633,4.47,8.43,0.49,0.59,1.08,13.8,5.55,1.0,0.0,0.0,0.0,8.272873630721888,1.454404735980439,,0.0,5600,0.0
202089911,0,6077,4.35,5.68,0.35,0.64,1.66,10.7,4.24,1.0,0.0,0.0,0.0,5.692203278885091,0.0215731160816681,,0.0,6100,0.0
202090198,0,3934,4.89,9.58,0.57,0.64,0.89,14.2,8.04,1.0,0.0,0.0,0.0,8.64620309292154,0.0116243384316004,,0.0,3900,0.0
202090321,0,5902,4.34,5.41,0.34,0.48,1.57,13.1,5.34,1.0,0.0,0.0,0.0,8.272876737571012,1.1266037227109365,,0.0,5900,0.0
202090712,0,6205,4.36,8.0,0.47,0.51,0.21,11.1,4.17,1.0,0.0,0.0,0.0,7.466862473446,0.0054604024349343,,0.0,6200,0.0
202091029,0,6109,4.24,3.48,0.27,0.67,1.73,11.5,,1.0,0.0,0.0,0.0,3.570614685727116,0.0189956805192722,,0.0,6100,0.0
202091231,0,6012,4.24,6.25,0.38,0.39,2.61,13.3,4.96,1.0,0.0,0.0,0.0,8.272875029964476,1.421534834399525,,0.0,6000,0.0
202091295,0,6030,4.21,3.09,0.26,0.83,1.19,13.4,,1.0,0.0,0.0,0.0,3.1073498240051705,0.0207537204121449,,0.0,6000,0.0
202091388,0,5900,4.34,8.31,0.49,0.35,0.99,13.5,5.14,1.0,3.0,4.463341662194671,0.0244222581386566,9.745674655694478,0.0300599073703972,43.0,0.8124528741132276,5900,2400.0
