EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector
202059229,0,4161,4.78,4.93,0.32,0.44,2.39,10.5,8.06,1.0,9.0,2.4741422325939504,0.017981874942779585,63.86643814115815,0.043811583907165996,6.0
202068593,0,4180,4.78,3.09,0.26,0.87,4.36,15.8,,1.0,0.0,0.0,0.0,3.0655887210735817,0.854961396305004,
202083650,0,4160,4.77,2.41,0.24,0.59,9.26,15.8,,1.0,0.0,0.0,0.0,76.63950440681947,0.7936529003610308,
202084291,0,4027,4.81,2.4,0.24,0.4,3.48,14.6,,1.0,0.0,0.0,0.0,63.866205241053336,0.9462906574209929,
202085463,0,4044,4.81,9.02,0.53,0.91,2.39,15.2,0.35,1.0,0.0,0.0,0.0,63.86626164485885,0.8319993614254166,
201189968,1,4446,4.68,2.59,0.24,0.41,1.73,13.86,7.08,1.0,0.0,0.0,0.0,400.36224854902684,0.02809590956815966,
201196841,1,4199,4.76,7.62,0.45,0.68,1.6,15.1,6.76,1.0,0.0,0.0,0.0,200.18112038391337,0.02297127746099048,
201232485,1,4193,4.76,2.92,0.25,0.51,3.92,16.04,,1.0,0.0,0.0,0.0,2.8803002567546296,0.04262033047885749,
201234609,1,4220,4.75,7.76,0.45,0.76,6.31,15.18,,1.0,0.0,0.0,0.0,7.699260437046597,0.07675276225351546,
201245978,1,4339,4.73,7.67,0.45,0.72,0.72,14.81,7.05,1.0,0.0,0.0,0.0,7.699264147393199,0.00839764557081657,
201318977,1,4409,4.7,7.74,0.45,0.65,0.57,14.86,6.83,1.0,0.0,0.0,0.0,400.3616677250465,0.011305660268210671,
201363197,1,4366,4.72,4.86,0.32,0.61,2.94,16.32,8.48,1.0,0.0,0.0,0.0,4.823631875792288,0.029398169052760714,
201377225,1,4038,4.83,6.7,0.4,0.49,5.43,14.25,6.17,1.0,0.0,0.0,0.0,3.2549770387256687,0.07334614415615248,
201429915,1,4464,4.68,8.95,0.53,0.74,3.88,15.16,,1.0,0.0,0.0,0.0,200.18080813590132,0.06096818430797002,
201457244,1,4134,4.84,9.64,0.57,0.75,0.86,15.09,,1.0,0.0,0.0,0.0,200.18059980195176,0.026961027095108503,
201504611,1,4368,4.73,4.11,0.29,0.63,6.43,15.66,6.72,1.0,0.0,0.0,0.0,4.0440519027569355,0.07174423719745393,
201531643,1,4035,4.85,9.1,0.54,0.87,3.39,16.59,,1.0,0.0,0.0,0.0,133.4537251709723,0.09069249424764547,
201565901,1,4201,4.76,8.13,0.48,0.88,5.08,15.87,,1.0,0.0,0.0,0.0,200.1809391843381,0.10910696525218477,
201584594,1,4331,4.72,3.26,0.26,0.4,3.25,14.71,6.14,1.0,0.0,0.0,0.0,3.2287221234650305,0.03564194150637379,
201597538,1,4442,4.74,6.85,0.41,0.53,5.73,14.57,,1.0,0.0,0.0,0.0,6.785792574612399,0.048890345617719655,
201611164,1,4196,4.76,6.35,0.38,0.9,3.08,16.25,,1.0,0.0,0.0,0.0,6.255644427296261,0.043721981533611065,
201622125,1,4208,4.75,5.87,0.36,0.76,3.88,16.95,,1.0,0.0,0.0,0.0,5.802340127811475,0.042904757298232066,
201636587,1,4363,4.71,6.21,0.38,0.7,3.36,15.14,6.85,1.0,0.0,0.0,0.0,6.066081339557224,0.038941734987554044,
